epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1602.48,2.53142,2.01759,0.92794,0.58151,0.42571,0.41316,0.19968,2.55054,1.99274,0.97159,0.0002179,0.0002179,0.0002179
81,1622.73,2.4264,1.88626,0.91452,0.49665,0.38457,0.39456,0.19514,2.56968,1.9746,0.96264,0.000208,0.000208,0.000208
82,1642.9,2.4913,1.8381,0.91633,0.5158,0.40364,0.40403,0.20159,2.58686,1.96892,0.96075,0.0001981,0.0001981,0.0001981
83,1662.7,2.36691,1.80078,0.92901,0.59251,0.41134,0.44103,0.21002,2.52538,1.95052,0.96533,0.0001882,0.0001882,0.0001882
84,1683.12,2.60412,1.89617,0.96311,0.58526,0.39271,0.42848,0.20601,2.50767,2.01465,0.96413,0.0001783,0.0001783,0.0001783
85,1703.17,2.49082,1.79183,0.91993,0.36936,0.42895,0.37379,0.18154,2.53521,2.22013,0.96269,0.0001684,0.0001684,0.0001684
86,1723.42,2.41405,1.84874,0.89661,0.35522,0.4081,0.37471,0.18191,2.58869,2.19579,0.96841,0.0001585,0.0001585,0.0001585
87,1743.59,2.43553,1.80054,0.9093,0.42289,0.39656,0.38967,0.19442,2.5895,2.08285,0.97401,0.0001486,0.0001486,0.0001486
88,1763.74,2.40606,1.8083,0.8959,0.44284,0.42126,0.39448,0.19809,2.57784,2.0385,0.97845,0.0001387,0.0001387,0.0001387
89,1783.67,2.42412,1.79853,0.90251,0.53327,0.36673,0.40464,0.20159,2.54408,2.0286,0.97556,0.0001288,0.0001288,0.0001288
90,1803.87,2.3918,1.73259,0.89908,0.65253,0.32247,0.40559,0.20097,2.53884,2.04115,0.97055,0.0001189,0.0001189,0.0001189
91,1824.08,2.42282,1.69032,0.92728,0.72118,0.29939,0.40831,0.2014,2.55894,2.15083,0.97283,0.000109,0.000109,0.000109
92,1844.2,2.3515,1.72116,0.9248,0.44579,0.44433,0.41652,0.1951,2.51473,2.1167,0.96797,9.91e-05,9.91e-05,9.91e-05
93,1864.05,2.26422,1.63657,0.92445,0.4504,0.44211,0.41717,0.1956,2.49702,2.11693,0.96801,8.92e-05,8.92e-05,8.92e-05
94,1883.93,2.32752,1.71513,0.92822,0.51009,0.38178,0.41313,0.1948,2.47993,2.09149,0.97139,7.93e-05,7.93e-05,7.93e-05
95,1903.91,2.25229,1.63507,0.92179,0.48105,0.4004,0.40376,0.20126,2.44745,2.13147,0.97455,6.94e-05,6.94e-05,6.94e-05
96,1924.03,2.31608,1.71195,0.91941,0.51818,0.39271,0.40722,0.20436,2.43355,2.13555,0.97604,5.95e-05,5.95e-05,5.95e-05
97,1944.23,2.34612,1.65046,0.93363,0.46189,0.41356,0.41601,0.2042,2.43909,2.10944,0.97352,4.96e-05,4.96e-05,4.96e-05
98,1964.29,2.3132,1.6279,0.94185,0.54506,0.38312,0.43338,0.20858,2.43895,2.0188,0.97063,3.97e-05,3.97e-05,3.97e-05
99,1984.31,2.26694,1.58121,0.91818,0.59276,0.38849,0.43153,0.20944,2.44349,2.06303,0.97179,2.98e-05,2.98e-05,2.98e-05
100,2004.43,2.22777,1.62012,0.93373,0.4679,0.43441,0.42455,0.20742,2.44364,2.11996,0.97206,1.99e-05,1.99e-05,1.99e-05
